month,material,scenario,T_amb_C,G_Wm2,eps_sky_window,P_solar_abs_Wm2,P_rad_net_Wm2,P_cool_at_ambient_Wm2,dT_eq_C,T_surface_eq_C,P_cool_dry_climate_Wm2,humidity_correction
1,Bare concrete,day,32.0,668.0,0.859,434.2,29.3,-404.8,-32.89,64.9,-376.6,
1,Bare concrete,night,22.3,0.0,0.859,0.0,25.4,25.4,2.38,19.9,49.7,0.512
1,White TiO2 paint,day,32.0,668.0,0.859,133.6,29.3,-104.2,-9.02,41.0,-76.0,
1,White TiO2 paint,night,22.3,0.0,0.859,0.0,25.4,25.4,2.38,19.9,49.7,0.512
1,Coating C,day,32.0,668.0,0.859,80.2,29.8,-50.4,-4.39,36.4,-21.5,
1,Coating C,night,22.3,0.0,0.859,0.0,25.8,25.8,2.41,19.9,50.6,0.51
1,PVDF-HFP porous,day,32.0,668.0,0.859,26.7,31.4,4.7,0.4,31.6,35.2,0.134
1,PVDF-HFP porous,night,22.3,0.0,0.859,0.0,27.3,27.3,2.47,19.8,53.4,0.51
1,BaSO4 ultra-white,day,32.0,668.0,0.859,16.0,31.2,15.2,1.31,30.7,45.3,0.335
1,BaSO4 ultra-white,night,22.3,0.0,0.859,0.0,27.1,27.1,2.46,19.8,52.9,0.511
1,Ideal selective emitter,day,32.0,668.0,0.859,20.0,22.0,2.0,0.25,31.8,31.8,0.062
1,Ideal selective emitter,night,22.3,0.0,0.859,0.0,18.9,18.9,2.43,19.9,44.5,0.425
1,Ideal broadband emitter,day,32.0,668.0,0.859,20.0,31.0,10.9,0.94,31.1,40.8,0.268
1,Ideal broadband emitter,night,22.3,0.0,0.859,0.0,26.9,26.9,2.44,19.8,52.5,0.512
2,Bare concrete,day,32.9,696.0,0.866,452.4,28.6,-423.8,-34.15,67.1,-394.0,
2,Bare concrete,night,24.2,0.0,0.866,0.0,25.2,25.2,2.33,21.8,51.2,0.492
2,White TiO2 paint,day,32.9,696.0,0.866,139.2,28.6,-110.6,-9.51,42.4,-80.8,
2,White TiO2 paint,night,24.2,0.0,0.866,0.0,25.2,25.2,2.33,21.8,51.2,0.492
2,Coating C,day,32.9,696.0,0.866,83.5,29.0,-54.5,-4.72,37.6,-24.0,
2,Coating C,night,24.2,0.0,0.866,0.0,25.6,25.6,2.36,21.8,52.1,0.491
2,PVDF-HFP porous,day,32.9,696.0,0.866,27.8,30.6,2.8,0.24,32.7,34.9,0.08
2,PVDF-HFP porous,night,24.2,0.0,0.866,0.0,27.0,27.0,2.42,21.7,55.0,0.491
2,BaSO4 ultra-white,day,32.9,696.0,0.866,16.7,30.4,13.7,1.18,31.8,45.5,0.302
